ListKey	cooling	deck	dishwasher	heating	last_sold	laundry	num_rooms	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore	Street	City	State	Zipcode
4503		1		1	"361,097"		6	1	6		6.666666667	House For Sale	425000	483000	13	"4115 246th St NE, Arlington, WA98223"	4	3	2106	1999	217800	Windermere Real Estate/Arlington	http://www.zillow.com/homedetails/4115-246th-St-NE-Arlington-WA-98223/38466238_zpid/		0	6	4115 246th St NE	 Arlington	WA	98223
4504					"27,900"		0	1	0		3.333333333	Lot/Land For Sale	10000		13	"1412 N Jetty Ave, Ocean Shores, WA "					"7,700"	Windermere Real Estate Ocean Shores	http://www.zillow.com/homedetails/1412-N-Jetty-Ave-Ocean-Shores-WA/55066736_zpid/		0	0	1412 N Jetty Ave	 Ocean Shores	WA	
4505							0	1	0		4.666666667	Lot/Land For Sale	105900		13	"0LOT 4 Buzzie Ln, Sedro Woolley, WA98284"					43560	Windermere Real Estate/Skagit Valley	http://www.zillow.com/homedetails/0LOT-4-Buzzie-Ln-Sedro-Woolley-WA-98284/2104363601_zpid/		0	2	0LOT 4 Buzzie Ln	 Sedro Woolley	WA	98284
4506	1			1	"163,000"		3	1	0		5.333333333	House For Sale	395000	414000	13	"520 Pine Ridge Ln, Cle Elum, WA98922"	3	3	2461	2010	131115.6	Windermere Real Estate/Cle Elum	http://www.zillow.com/homedetails/520-Pine-Ridge-Ln-Cle-Elum-WA-98922/119276268_zpid/	1	0	5	520 Pine Ridge Ln	 Cle Elum	WA	98922
4507		1		1	"693,990"		4	1	0		7.666666667	House For Sale	819000	800000	13	"16676 NE 121st Way, Redmond, WA98052"	4	3	3340	2011	"5,662"	Coldwell Banker Bain	http://www.zillow.com/homedetails/16676-NE-121st-Way-Redmond-WA-98052/84760144_zpid/	1	28	2	16676 NE 121st Way	 Redmond	WA	98052
4508	1	1	1	1	"450,000"	1	7	1	0		9.666666667	House For Sale	850000	538000	13	"5012 3rd Ave NW, Seattle, WA98107"	3	3	1971	1911	"3,920"	Coldwell Banker Bain	http://www.zillow.com/homedetails/5012-3rd-Ave-NW-Seattle-WA-98107/49141103_zpid/	1	55	77	5012 3rd Ave NW	 Seattle	WA	98107
4509	1	1		1			7	1	5		8.333333333	House For Sale	2988000	1660000	13	"(Undisclosed Address), Edmonds, WA98026"	7	8	8359	1973	108028.8	Coldwell Banker Bain	http://www.zillow.com/homedetails/(Undisclosed-Address)-Edmonds-WA-98026/2104363673_zpid/	1	0	1	(Undisclosed Address)	 Edmonds	WA	98026
4510	1	1		1	"182,000"	1	4	1	7		7.666666667	Foreclosure	309900	350000	13	"18612 11th Ave NE, Poulsbo, WA98370"	4	3	2711	1978	11325.6	Huletz Real Estate Group	http://www.zillow.com/homedetails/18612-11th-Ave-NE-Poulsbo-WA-98370/23432136_zpid/		31	61	18612 11th Ave NE	 Poulsbo	WA	98370
4511				1			4	1	0		5.666666667	Foreclosure	232941	216000	13	"0 N Marcus Ln # EMPRESS, Spokane Valley, WA99216"	4	3	3278		"9,147"	Synergy Properties LLC	http://www.zillow.com/homedetails/0-N-Marcus-Ln-EMPRESS-Spokane-Valley-WA-99216/2104365732_zpid/		0	23	0 N Marcus Ln # EMPRESS	 Spokane Valley	WA	99216
4512					"40,000"		0	1	0		7	Lot/Land For Sale	50000		13	"1623 W Wilson Ave, SPOKANE, WA99201"					"10,890"	R.H. Cooke and Associates INC.	http://www.zillow.com/homedetails/1623-W-Wilson-Ave-Spokane-WA-99201/97821520_zpid/		62	56	1623 W Wilson Ave	 SPOKANE	WA	99201
